Item Name,Qty,Price (total) (NZD),Item link,Notes
DF Player Mini,1,~$5,Aliexpress,Most DF Player Minis you find on Aliexpress would work!
Esp32 C3 Supermini,1,~$7.5,Aliexpress,Any Esp32 C3 Supermini would work! This is just the one I am using!
MicroSD Card,1,~$18,Aliexpress,"The one I linked here is from Kodak, any MicroSD card or MicroSDHC card under 32GB will work!"
5V 1A Type-c 18650 TP4056 Lithium Battery Charger,1,~$3,Aliexpress,
3.7V To 12V Mini DC Boost Converter Board,1,~$5,Aliexpress,Output 5V
INMP441,1,~$4,Aliexpress,
1000mAh 1 Cell 3.7V Lipo Battery,1,~$12,Aliexpress,Any 100mAh 1 Cell 3.7V Lipo battery that is within the dimension 75x25x10mm will work
"4 Ohm 3W Bass Speaker (27x17x18mm)",1,~$8,Aliexpress,
Switch,1,~$3,Aliexpress,
M2.5 Threaded Inserts,8,~$5,Aliexpress,
M2.5 Bolts,8,~$5,Aliexpress,
6x4mm Neodymium Magnets,15,~$10,Aliexpress,Or 30x 6x2mm Neodymium Magnets which are more commonly found on Aliexpress
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total Price (USD):,$0.00,,,
